2016-08-03 15:23:25 status unpacked hostname:armhf 3.15ubuntu1
2016-08-03 15:23:25 install ifupdown:armhf <none> 0.7.47.2ubuntu4
2016-08-03 15:23:25 status half-installed ifupdown:armhf 0.7.47.2ubuntu4
2016-08-03 15:23:25 status unpacked ifupdown:armhf 0.7.47.2ubuntu4
2016-08-03 15:23:25 status unpacked ifupdown:armhf 0.7.47.2ubuntu4
2016-08-03 15:23:25 install initramfs-tools:all <none> 0.103ubuntu4
2016-08-03 15:23:25 status half-installed initramfs-tools:all 0.103ubuntu4
2016-08-03 15:23:25 status unpacked initramfs-tools:all 0.103ubuntu4
2016-08-03 15:23:25 status unpacked initramfs-tools:all 0.103ubuntu4
2016-08-03 15:23:25 install initramfs-tools-bin:armhf <none> 0.103ubuntu4
2016-08-03 15:23:25 status half-installed initramfs-tools-bin:armhf 0.103ubuntu4
2016-08-03 15:23:25 status unpacked initramfs-tools-bin:armhf 0.103ubuntu4
2016-08-03 15:23:25 status unpacked initramfs-tools-bin:armhf 0.103ubuntu4
2016-08-03 15:23:25 install initscripts:armhf <none> 2.88dsf-41ubuntu6
2016-08-03 15:23:25 status half-installed initscripts:armhf 2.88dsf-41ubuntu6
2016-08-03 15:23:25 status unpacked initscripts:armhf 2.88dsf-41ubuntu6
2016-08-03 15:23:25 status unpacked initscripts:armhf 2.88dsf-41ubuntu6
2016-08-03 15:23:25 install insserv:armhf <none> 1.14.0-5ubuntu2
2016-08-03 15:23:25 status half-installed insserv:armhf 1.14.0-5ubuntu2
2016-08-03 15:23:25 status unpacked insserv:armhf 1.14.0-5ubuntu2
2016-08-03 15:23:25 status unpacked insserv:armhf 1.14.0-5ubuntu2
2016-08-03 15:23:25 install iproute2:armhf <none> 3.12.0-2
2016-08-03 15:23:25 status half-installed iproute2:armhf 3.12.0-2
2016-08-03 15:23:25 status unpacked iproute2:armhf 3.12.0-2
2016-08-03 15:23:25 status unpacked iproute2:armhf 3.12.0-2
2016-08-03 15:23:25 install klibc-utils:armhf <none> 2.0.3-0ubuntu1
2016-08-03 15:23:25 status half-installed klibc-utils:armhf 2.0.3-0ubuntu1
2016-08-03 15:23:25 status unpacked klibc-utils:armhf 2.0.3-0ubuntu1
2016-08-03 15:23:25 status unpacked klibc-utils:armhf 2.0.3-0ubuntu1
